date,state,candidate,pct
2020-07-02,Pennsylvania,Biden,0.48
2020-07-02,Pennsylvania,Trump,0.43
2020-07-02,Florida,Biden,0.46
2020-07-02,Florida,Trump,0.46
2020-06-29,Texas,Biden,0.44
2020-06-29,Texas,Trump,0.48
2020-06-25,Texas,Biden,0.48
2020-06-25,Texas,Trump,0.46
2020-06-27,Michigan,Biden,0.5
2020-06-27,Michigan,Trump,0.44
2020-06-30,Colorado,Biden,0.56
2020-06-30,Colorado,Trump,0.39
2020-06-29,Arizona,Biden,0.47
2020-06-29,Arizona,Trump,0.45
2020-06-28,Wisconsin,Biden,0.51
2020-06-28,Wisconsin,Trump,0.43
2020-06-28,Pennsylvania,Biden,0.5
2020-06-28,Pennsylvania,Trump,0.44
2020-06-28,North Carolina,Biden,0.51
2020-06-28,North Carolina,Trump,0.44
2020-06-28,Michigan,Biden,0.48
2020-06-28,Michigan,Trump,0.43
2020-06-28,Florida,Biden,0.5
2020-06-28,Florida,Trump,0.45
2020-06-28,Arizona,Biden,0.51
2020-06-28,Arizona,Trump,0.44
2020-06-25,North Carolina,Biden,0.45
2020-06-25,North Carolina,Trump,0.44
2020-06-23,Pennsylvania,Biden,0.46
2020-06-23,Pennsylvania,Trump,0.41
2020-06-26,Georgia,Biden,0.49
2020-06-26,Georgia,Trump,0.45
2020-06-25,Wisconsin,Biden,0.45
2020-06-25,Wisconsin,Trump,0.46
2020-06-23,Texas,Biden,0.45
2020-06-23,Texas,Trump,0.44
2020-06-23,North Carolina,Biden,0.47
2020-06-23,North Carolina,Trump,0.45
2020-06-23,Georgia,Biden,0.47
2020-06-23,Georgia,Trump,0.45
2020-06-23,Florida,Biden,0.49
2020-06-23,Florida,Trump,0.4
2020-06-19,Wisconsin,Biden,0.45
2020-06-19,Wisconsin,Trump,0.36
2020-06-17,North Carolina,Biden,0.46
2020-06-17,North Carolina,Trump,0.4
2020-06-17,Arizona,Biden,0.43
2020-06-17,Arizona,Trump,0.39
2020-06-16,Michigan,Biden,0.47
2020-06-16,Michigan,Trump,0.36
2020-06-16,Pennsylvania,Biden,0.49
2020-06-16,Pennsylvania,Trump,0.39
2020-06-15,Florida,Biden,0.45
2020-06-15,Florida,Trump,0.41
2020-06-20,Michigan,Biden,0.56
2020-06-20,Michigan,Trump,0.38
2020-06-16,Wisconsin,Biden,0.55
2020-06-16,Wisconsin,Trump,0.39
2020-06-11,Pennsylvania,Biden,0.54
2020-06-11,Pennsylvania,Trump,0.42
2020-06-18,North Carolina,Biden,0.49
2020-06-18,North Carolina,Trump,0.4
2020-06-18,Florida,Biden,0.47
2020-06-18,Florida,Trump,0.41
2020-06-17,Michigan,Biden,0.47
2020-06-17,Michigan,Trump,0.36
2020-06-16,Pennsylvania,Biden,0.5
2020-06-16,Pennsylvania,Trump,0.4
2020-06-16,Arizona,Biden,0.48
2020-06-16,Arizona,Trump,0.41
2020-06-15,Wisconsin,Biden,0.49
2020-06-15,Wisconsin,Trump,0.38
2020-06-23,North Carolina,Biden,0.48
2020-06-23,North Carolina,Trump,0.46
2020-06-22,Ohio,Biden,0.46
2020-06-22,Ohio,Trump,0.45
2020-06-18,Wisconsin,Biden,0.51
2020-06-18,Wisconsin,Trump,0.42
2020-06-19,Texas,Biden,0.46
2020-06-19,Texas,Trump,0.48
2020-06-18,Michigan,Biden,0.46
2020-06-18,Michigan,Trump,0.45
2020-06-17,North Carolina,Biden,0.43
2020-06-17,North Carolina,Trump,0.46
2020-06-14,Arizona,Biden,0.45
2020-06-14,Arizona,Trump,0.44
2020-06-14,North Carolina,Biden,0.47
2020-06-14,North Carolina,Trump,0.45
2020-06-14,Michigan,Biden,0.47
2020-06-14,Michigan,Trump,0.45
2020-06-14,Wisconsin,Biden,0.48
2020-06-14,Wisconsin,Trump,0.44
2020-06-14,Pennsylvania,Biden,0.49
2020-06-14,Pennsylvania,Trump,0.46
2020-06-14,Florida,Biden,0.5
2020-06-14,Florida,Trump,0.43
2020-06-15,Arizona,Biden,0.49
2020-06-15,Arizona,Trump,0.45
2020-06-13,Georgia,Biden,0.48
2020-06-13,Georgia,Trump,0.46
2020-06-12,Michigan,Biden,0.51
2020-06-12,Michigan,Trump,0.38
2020-06-12,Michigan,Biden,0.5
2020-06-12,Michigan,Trump,0.37
2020-06-11,Florida,Biden,0.51
2020-06-11,Florida,Trump,0.4
2020-06-11,Florida,Biden,0.5
2020-06-11,Florida,Trump,0.4
2020-06-04,Michigan,Biden,0.55
2020-06-04,Michigan,Trump,0.39
2020-06-10,Iowa,Biden,0.43
2020-06-10,Iowa,Trump,0.44
2020-05-30,Florida,Biden,0.47
2020-05-30,Florida,Trump,0.44
2020-05-27,Georgia,Biden,0.4
2020-05-27,Georgia,Trump,0.44
2020-06-07,Michigan,Biden,0.5
2020-06-07,Michigan,Trump,0.35
2020-06-08,Iowa,Biden,0.46
2020-06-08,Iowa,Trump,0.46
2020-06-03,Michigan,Biden,0.53
2020-06-03,Michigan,Trump,0.41
2020-06-04,Texas,Biden,0.48
2020-06-04,Texas,Trump,0.48
2020-06-04,Iowa,Biden,0.47
2020-06-04,Iowa,Trump,0.48
2020-06-03,North Carolina,Biden,0.49
2020-06-03,North Carolina,Trump,0.45
2020-06-02,Wisconsin,Biden,0.49
2020-06-02,Wisconsin,Trump,0.4
2020-06-02,Ohio,Biden,0.45
2020-06-02,Ohio,Trump,0.43
2020-06-02,Arizona,Biden,0.46
2020-06-02,Arizona,Trump,0.42
2020-06-01,Texas,Biden,0.43
2020-06-01,Texas,Trump,0.44
2020-05-31,Wisconsin,Biden,0.45
2020-05-31,Wisconsin,Trump,0.45
2020-05-31,Pennsylvania,Biden,0.46
2020-05-31,Pennsylvania,Trump,0.5
2020-05-31,North Carolina,Biden,0.46
2020-05-31,North Carolina,Trump,0.45
2020-05-31,Michigan,Biden,0.48
2020-05-31,Michigan,Trump,0.46
2020-05-31,Florida,Biden,0.48
2020-05-31,Florida,Trump,0.45
